Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
172401,3729470,-11,79.8732,45.8974,11.8758,-64.2816,47.4089,-1.11208,0.253193,1,11,40.0327,-36.8614,-10.6502,-11.4204,38.3691,-0.293418,-2.86033,-1,-13,48.5643,-40.5716,-22.7848,-13.9024,46.5317,-0.294497,-2.62989,1,13,79.4437,30.9827,-0.575343,-73.1508,30.9881,-1.59418,-0.0185677,-1,90.3889,92.539,185.693
172868,933807102,-11,102.449,87.3719,52.3065,-11.2265,101.832,-0.110022,0.539437,1,11,52.9591,34.6148,-32.7692,-23.0794,47.6656,-0.46703,-0.758016,-1,13,165.08,-72.4362,-36.8636,-143.685,81.2768,-1.33472,-2.67084,-1,-13,52.6736,-35.0749,32.778,-21.6761,48.0067,-0.437438,2.39003,1,92.1786,87.8203,314.539
163237,41158481,11,23.1604,10.6964,18.8777,8.10096,21.6975,0.365189,1.05528,-1,-11,19.0242,-1.99355,-11.4848,-15.0347,11.6566,-1.07222,-1.74266,1,-13,34.9352,-3.79754,-21.4673,-27.2982,21.8006,-1.04895,-1.74588,1,13,13.2384,5.95324,10.8178,4.77278,12.3477,0.377502,1.06771,-1,41.1734,40.0133,84.6655
166554,395098004,11,13.6666,9.92125,-5.87347,-7.33812,11.5295,-0.599842,-0.534523,-1,-11,12.2028,-4.64496,7.93832,-8.01976,9.19742,-0.787877,2.10021,1,13,56.9386,-48.8868,-28.2899,7.19422,56.4822,0.12703,-2.61699,-1,-13,15.0973,13.6421,3.01871,5.71822,13.9721,0.398618,0.217769,1,56.0502,20.0315,90.2377
166950,1491724484,11,65.4968,34.8201,34.7149,43.2698,49.1687,0.793947,0.783884,-1,-11,48.2976,-43.1704,-9.65137,19.3863,44.2361,0.425307,-2.92164,1,13,33.7468,16.8681,-29.1201,2.51404,33.6529,0.0746358,-1.04577,-1,-13,107.174,-13.6052,15.0956,105.229,20.3218,2.34679,2.30431,1,91.2442,89.6807,188.934
173692,-1572852967,-11,51.572,-41.9751,-21.0973,21.276,46.9788,0.438679,-2.67586,1,11,75.7442,21.6475,38.7022,61.406,44.345,1.12908,1.06081,-1,13,29.8935,-15.0814,-24.6878,-7.52831,28.9298,-0.257376,-2.11918,-1,-13,97.6274,19.983,5.70277,95.3901,20.7808,2.22875,0.277992,1,90.3186,93.0051,188.724
166922,112725318,11,26.9831,-24.6867,2.0513,-10.6979,24.7718,-0.419451,3.05869,-1,-11,31.0754,14.0512,11.7335,25.1112,18.3061,1.12144,0.695753,1,13,32.1241,-16.5619,-6.78284,26.6767,17.897,1.18952,-2.75288,-1,-13,34.5865,0.91502,-13.2461,31.9361,13.2776,1.61146,-1.50183,1,53.4782,19.2057,97.4925
165633,394010457,-11,83.3579,-47.1287,-62.1287,-29.4526,77.9813,-0.369241,-2.21976,1,11,58.3598,35.0452,-14.0502,-44.5005,37.7567,-1.00221,-0.381297,-1,-13,78.7781,35.8377,42.7459,-55.6276,55.7813,-0.879425,0.873082,1,13,52.6351,-33.9963,39.2427,8.64342,51.9205,0.165715,2.28468,-1,91.3039,93.0893,244.614
165970,275108397,-11,17.5272,-9.64935,-14.6291,-0.291034,17.5248,-0.0166062,-2.15389,1,11,9.12118,4.97206,-6.48746,-4.04813,8.17365,-0.476974,-0.916874,-1,13,87.1034,-12.3418,49.1408,70.851,50.6669,1.13703,1.81686,-1,-13,90.3821,28.1067,-31.9461,79.7395,42.5504,1.38582,-0.849245,1,90.9915,14.9508,141.926
163340,218958268,11,66.4218,-19.2252,6.90824,63.2023,20.4287,1.8477,2.79663,-1,-11,16.467,14.103,-0.51068,8.4857,14.1122,0.569941,-0.036195,1,-13,26.9257,22.9008,-1.25631,14.1052,22.9352,0.581646,-0.0548037,1,13,64.3576,-12.4915,0.109829,63.1335,12.492,2.32296,3.1328,-1,47.5095,40.7949,90.0069
172949,1188043146,-11,71.8983,67.0767,-20.2283,-16.1524,70.0604,-0.228555,-0.292897,1,11,39.9942,-23.7839,-0.486177,-32.15,23.7888,-1.10945,-3.12115,-1,13,57.7394,-54.0647,7.237,-18.9331,54.547,-0.34048,3.00853,-1,-13,37.984,32.342,-19.4447,4.32089,37.7373,0.11425,-0.541315,1,91.2609,88.7887,193.899
166408,917379387,11,52.1652,30.5705,41.8175,-6.16037,51.8001,-0.118647,0.939536,-1,-11,49.4396,-32.5934,-12.721,-34.9303,34.9879,-0.880209,-2.76948,1,13,217.88,-52.3861,-44.7491,-206.7,68.8969,-1.81849,-2.43466,-1,-13,166.384,29.3645,31.1233,-160.788,42.7894,-2.0342,0.814466,1,88.2292,109.068,261.277
163334,286336207,-11,56.1417,-17.1982,-26.2035,-46.5778,31.3433,-1.187,-2.15161,1,11,30.1759,17.8132,22.5284,-9.25975,28.72,-0.317075,0.901751,-1,-13,50.4618,43.9348,20.2387,-14.3703,48.3722,-0.292873,0.431677,1,13,50.4224,-38.4343,-24.9245,-21.071,45.8086,-0.445133,-2.56627,-1,94.1771,65.7192,163.112
