Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
194479,402600389,-11,104.914,-22.7157,63.1244,80.6608,67.0872,1.01746,1.91622,1,-11,74.4964,15.4886,-39.7543,-61.0689,42.665,-1.15607,-1.19928,1,11,22.0451,11.0999,-13.3796,-13.5561,17.3845,-0.716801,-0.878257,-1,11,13.3259,1.02944,12.7616,-3.69621,12.803,-0.284831,1.4903,-1,94.8998,50.1676,213.503
196239,384138657,-11,24.5217,-18.1985,-12.7774,-10.3377,22.2362,-0.449604,-2.52945,1,11,41.5543,0.712127,16.366,38.1891,16.3815,1.58266,1.52731,-1,11,18.6551,11.7973,-10.2824,10.1543,15.6494,0.610271,-0.716897,-1,-11,24.6545,-11.1421,-7.70435,20.5995,13.5463,1.20618,-2.53662,1,57.1987,24.6164,89.6663
194480,863682922,-11,83.2766,-12.7199,51.4181,64.2602,52.968,1.02439,1.81331,1,11,136.576,40.6683,-20.7553,128.718,45.6584,1.75965,-0.471897,-1,-11,229.826,-41.6636,15.7884,225.465,44.5548,2.32422,2.77936,1,11,102.09,-4.94264,-39.6744,93.9358,39.9811,1.58984,-1.69474,-1,93.6941,94.2604,203.769
196531,497827501,11,31.1415,23.4508,-8.013,-18.8585,24.782,-0.701903,-0.329256,-1,-11,30.1838,-14.5558,-6.28717,25.6839,15.8556,1.25946,-2.73386,1,-11,14.2577,11.5684,8.30379,0.707846,14.2401,0.0496874,0.622571,1,11,16.6179,9.31274,7.05903,-11.8151,11.6858,-0.889181,0.6486,-1,58.5713,12.5655,87.1489
194533,873825341,-11,88.7399,45.4355,21.0393,-73.2648,50.0704,-1.1742,0.43366,1,-11,55.5388,-5.35867,-20.6517,-51.2772,21.3356,-1.61073,-1.82468,1,11,58.4356,-11.3334,6.02476,-57.0086,12.8353,-2.19659,2.65299,-1,11,35.9419,5.64009,-7.6696,-34.6581,9.52016,-2.00362,-0.936716,-1,52.8589,13.4782,95.0094
195378,155753218,-11,87.3683,-71.1558,-14.448,-48.5935,72.6078,-0.627302,-2.94127,1,-11,45.1471,19.9095,40.4537,-2.31848,45.0876,-0.051399,1.11344,1,11,56.7583,25.4769,-27.767,-42.4433,37.6839,-0.96792,-0.828385,-1,11,90.8489,-16.1652,-10.9525,-88.7257,19.5262,-2.21883,-2.5461,-1,92.8231,96.5481,208.315
195656,78300349,11,86.077,-18.8296,76.938,-33.6934,79.2086,-0.413492,1.81082,-1,-11,56.2454,-48.233,-25.2404,14.1438,54.438,0.256977,-2.65948,1,11,62.4382,42.9328,-17.4703,41.8341,46.3512,0.810758,-0.38646,-1,-11,37.9297,-23.0772,-27.8047,-11.5329,36.1339,-0.313988,-2.26355,1,95.3938,95.7183,237.725
195304,1069824602,-11,121.276,-8.05469,58.002,106.202,58.5586,1.35702,1.70878,1,11,65.327,49.9192,19.1388,37.5418,53.4624,0.654476,0.366111,-1,11,192.184,38.8569,-12.3428,187.81,40.7702,2.23221,-0.307568,-1,-11,29.4869,-21.8749,-2.72514,-19.5841,22.044,-0.800228,-3.01765,1,93.7073,87.2427,249.092
194480,109881951,-11,56.0401,38.2624,32.5518,24.8368,50.2357,0.476203,0.704929,1,11,54.7005,4.78603,-43.7244,32.5179,43.9856,0.684554,-1.46177,-1,11,52.9764,-42.6466,-9.62107,29.9199,43.7184,0.63982,-2.91971,-1,-11,36.9762,7.84142,19.7696,-30.2475,21.268,-1.15082,1.19319,1,91.3306,87.5567,192.241
195378,579338428,-11,167.336,71.2345,32.6845,147.846,78.3749,1.39165,0.430173,1,-11,67.6578,-53.6228,-25.3181,32.5757,59.2993,0.524905,-2.70047,1,11,45.8509,-6.20022,-29.334,34.6897,29.9821,0.988161,-1.7791,-1,11,35.2854,-6.95929,19.3543,28.6712,20.5674,1.1345,1.91597,-1,88.8163,56.039,201.199
