Run,Event,PID1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,PID2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,PID3,E3,px3,py3,pz3,pt3,eta3,phi3,Q3,PID4,E4,px4,py4,pz4,pt4,eta4,phi4,Q4,mZ1,mZ2,M
173657,34442568,13,35.9978,32.7631,-4.41922,-14.2436,33.0598,-0.418519,-0.134075,-1,-13,29.0804,-19.3105,-5.31425,21.0837,20.0284,0.918146,-2.87304,1,13,17.3154,-10.8701,-3.64596,12.9753,11.4653,0.971505,-2.81797,-1,-13,11.4939,-1.20978,11.3565,1.29029,11.4207,0.112739,1.67692,1,62.5513,20.5205,91.4517
166512,337493970,13,52.9826,-49.917,8.17082,15.7696,50.5813,0.306925,2.97934,-1,13,72.1018,15.3284,21.3547,-67.1392,26.2866,-1.66715,0.948222,-1,-13,89.7552,10.3467,-20.2724,86.8214,22.7601,2.04874,-1.09888,1,-13,30.2162,2.32913,-13.0684,27.144,13.2743,1.46351,-1.39442,1,92.1352,90.2049,235.88
171091,69105221,13,165.975,-12.628,-30.2289,162.71,32.7605,2.30588,-1.96651,-1,-13,68.1611,6.93837,22.8576,63.8382,23.8875,1.70944,1.27609,1,-13,19.5056,4.71517,8.50412,16.9087,9.72383,1.32037,1.06454,1,13,24.8387,-8.09683,3.05681,23.2819,8.65464,1.71561,2.7806,-1,58.3874,14.3541,79.3858
172952,559839432,13,110.26,-69.151,68.8363,-51.3524,97.572,-0.504613,2.35847,-1,13,88.3199,85.944,-16.8197,-11.451,87.5743,-0.130388,-0.193263,-1,-13,45.0987,-19.9828,-29.1408,-28.0247,35.3341,-0.727298,-2.17188,1,-13,9.79377,3.02072,8.34856,-4.13324,8.87824,-0.450186,1.22363,1,91.1877,37.3758,232.929
167282,44166176,-13,54.3881,-27.4999,-43.8652,-16.6628,51.7726,-0.316533,-2.13077,1,13,39.8417,31.5353,18.8533,15.4088,36.7413,0.407975,0.538835,-1,-13,20.3208,3.30081,16.0125,12.0677,16.3491,0.683619,1.3675,1,13,6.83735,4.64276,-2.38618,4.41465,5.22007,0.767963,-0.474752,-1,90.7513,14.735,119.29
172819,298086610,-13,53.1642,17.4985,37.2454,33.6601,41.1512,0.746633,1.13159,1,13,27.0532,-17.2815,-17.6328,11.0589,24.6894,0.434154,-2.34613,-1,13,16.7781,5.8467,-11.9937,10.1716,13.3429,0.702974,-1.11722,-1,-13,22.3313,-3.82954,-8.39217,20.3367,9.22464,1.53157,-1.9989,1,63.6423,13.3843,92.5968
166438,862270386,-13,29.9073,23.9423,10.4693,14.5463,26.1312,0.531313,0.412221,1,-13,75.9432,-11.9684,-19.7576,72.3447,23.0999,1.85933,-2.11544,1,13,88.5518,-15.8223,5.89078,-86.9273,16.8833,-2.34119,2.78518,-1,13,17.5638,-5.11218,2.26363,16.6498,5.59092,1.81147,2.72475,-1,91.9781,15.0249,211.121
163817,155679852,13,87.8379,32.6619,-35.0103,-73.6408,47.8803,-1.21567,-0.820087,-1,13,27.1622,-18.6965,13.7248,14.1367,23.1933,0.576967,2.50836,-1,-13,25.1928,-14.3719,1.0851,20.6625,14.4128,1.15737,3.06623,1,-13,17.1924,-6.65008,-3.15624,-15.5364,7.36107,-1.49204,-2.69846,1,92.1075,34.8027,145.663
173692,292842892,-13,47.5353,-16.3698,32.7288,-30.3389,36.5943,-0.755199,2.03458,1,13,18.198,11.2578,-13.1513,5.6093,17.3117,0.318601,-0.862816,-1,13,11.5706,-11.1768,-1.1966,2.74149,11.2406,0.241535,-3.03494,-1,-13,11.8506,7.19354,-8.50725,4.03802,11.1409,0.354948,-0.868876,1,57.4448,19.8132,86.2909
172163,191231387,-13,175.289,-2.96003,-45.1287,169.354,45.2256,2.03084,-1.63629,1,13,147.786,22.706,16.7463,145.068,28.2135,2.33987,0.635469,-1,-13,24.5629,-2.69663,24.1532,-3.56053,24.3033,-0.145985,1.68198,1,13,20.4208,-16.2122,12.4085,-0.438977,20.4158,-0.0215001,2.48832,-1,91.2785,87.2163,197.579
