Run,Event,pt1,eta1,phi1,Q1,type1,sigmaEtaEta1,HoverE1,isoTrack1,isoEcal1,isoHcal1,pt2,eta2,phi2,Q2,type2,sigmaEtaEta2,HoverE2,isoTrack2,isoEcal2,isoHcal2
163286,109060857,37.5667,2.28918,2.0526,-1,EE,0.025125,0.00897285,0,0.532876,0.642256,45.4315,1.47064,-1.16305,1,EB,0.000753467,0,0,1.01903,0
163286,109275715,36.2901,-0.837253,-1.58592,1,EB,0.0078294,0.0437507,0,1.49699,0.640182,60.5754,-0.48957,1.0496,-1,EB,0.011246,0,0.718473,1.84606,0
163286,109075352,25.9705,-0.69742,1.63599,-1,EB,0.00971529,0.0407282,6.28701,5.00768,3.92491,45.2954,-2.04009,3.11875,1,EE,0.0259723,0.0280083,15.217,4.53372,3.83699
163286,109169766,41.0075,1.46192,-0.532464,1,EB,0.00875285,0,0,1.967,0.542906,45.9013,1.15606,2.47858,-1,EB,0.00859013,0,0,2.43883,0.567555
163286,108947653,39.8985,-0.592666,-2.39472,1,EB,0.0152612,0,2.54347,4.8691,0,34.8931,-2.24444,0.61061,-1,EE,0.029025,0,12.4229,0.453359,0.909608
163286,109260503,41.9583,-0.40555,-2.75644,1,EB,0.0125943,0.016377,29.7964,8.9458,7.08107,36.7997,-2.38129,0.0789958,1,EE,0.0315244,0.0289346,0,4.91189,5.55076
163286,109491381,62.3848,1.07513,-1.76103,-1,EB,0.00825864,0,0,2.80043,0,43.4772,1.58284,1.47175,1,EE,0.0108289,0.0194881,15.3751,2.86082,3.19139
163286,109508443,25.1316,-2.10988,-1.82658,1,EE,0.024874,0,0,1.28626,0.245783,38.042,0.371665,-0.830728,1,EB,0.012676,0.10616,8.58343,2.91233,0
163286,110268001,32.3642,-0.534036,-2.67181,-1,EB,0.0108851,0.0843104,4.73546,2.18138,2.48593,40.6404,1.39099,0.074385,1,EB,0.0180025,0,12.4254,4.1619,7.45539
163286,110085994,31.4123,-0.216362,1.29542,-1,EB,0.0118085,0.109559,18.8325,9.7857,6.16831,42.4105,-1.27578,-2.12347,-1,EB,0.00866128,0,20.4377,6.42242,2.40063
163286,110297282,27.4283,0.555189,-1.47745,-1,EB,0.0112356,0.024642,2.41356,9.71242,0.743899,32.1866,1.34506,1.83949,1,EB,0.00835941,0.0396595,16.5181,6.17347,4.02623
163286,110310826,41.3224,-1.24722,1.08253,1,EB,0.00910671,0,30.7173,22.8157,8.77259,43.1364,-1.60115,-2.21855,-1,EE,0.0141599,0.0333943,14.9778,10.5528,4.5179
163286,110043177,36.5402,2.17308,-1.81208,-1,EE,0.0229437,0,3.76316,5.13931,2.67085,51.0922,1.19273,0.820625,-1,EB,0.00944433,0.0180271,31.6039,16.8252,4.62422
163286,110106153,38.5802,-0.772801,-1.57975,-1,EB,0.00866215,0.0226348,0,1.10831,0.640198,38.4803,0.14109,1.5267,1,EB,0.00930938,0,0,2.35626,1.89709
163286,109969547,31.361,-0.100096,1.37685,1,EB,0.0123987,0.0806485,39.2218,21.9071,2.80219,58.5602,-0.998764,-1.84335,1,EB,0.00885556,0.0715552,10.1154,16.4911,4.16743
163286,110148035,43.0054,0.793703,-2.83928,1,EB,0.0180777,0.0921701,10.3052,7.19316,3.39519,41.2774,2.23038,0.279248,1,EE,0.0225864,0.0781567,10.5527,1.94535,8.00128
163286,109908152,29.4642,0.727374,-3.06751,1,EB,0.00891549,0.0946824,30.6725,12.8145,2.62011,37.4883,2.20962,0.499012,1,EE,0.0290158,0.0143323,5.37166,2.03498,4.6239
