Run,Event,pt1,eta1,phi1,Q1,dxy1,iso1,pt2,eta2,phi2,Q2,dxy2,iso2
165617,74969122,54.7055,-0.432396,2.57421,1,-0.0745444,0.499921,34.2464,-0.98848,-0.498704,-1,0.0712224,3.42214
165617,75138253,24.5872,-2.0522,2.86657,-1,-0.0554371,0,28.5389,0.385163,-1.99117,1,0.0514773,0
165617,75887636,31.7386,-2.25945,-1.33229,-1,0.0879174,0,30.2344,-0.468419,1.88331,1,-0.0876393,0
165617,75779415,39.7394,-0.712338,-0.312266,1,0.0584813,0,48.279,-0.195625,2.97032,-1,-0.0492012,0
165617,75098104,41.2998,-0.157055,-3.04077,1,-0.0304633,1.22804,43.4508,0.590958,-0.0427563,-1,0.0441755,0
165617,77255513,38.9425,0.35221,-2.26492,-1,0.0383679,0,39.8616,0.263011,0.918273,1,-0.0406591,0
165617,76042048,42.8278,-0.954909,-0.241833,-1,0.0513307,0.692596,48.9864,-1.21833,2.83987,1,-0.0544944,2.25255
165617,76661162,17.3593,-1.48088,-1.70459,-1,0.141148,25.9167,19.9872,0.801846,1.87582,1,-0.102162,6.92321
165617,77076988,38.1511,-0.870204,1.71648,1,-0.0839881,0,37.8959,0.499995,-1.86762,-1,0.0651782,0
165617,77459740,51.6437,-1.21533,1.867,-1,-0.0825741,0,42.5626,-1.00762,-0.936155,1,0.0810032,0
165617,76405662,42.4714,-0.669585,-1.63027,-1,0.0727687,1.03434,45.5961,-0.994442,1.35097,1,-0.0672175,2.54567
165617,76583723,34.5104,0.747187,-1.62103,1,0.0748747,0,32.8544,-0.692234,1.35173,-1,-0.0684749,0.574161
165617,76179155,45.0624,-1.94588,-1.03474,1,0.0848118,0.475056,42.3556,-1.7178,2.07554,-1,-0.0851863,0
165617,75954345,33.5015,0.815032,-1.21045,-1,0.0861095,0,39.1855,-0.565235,1.91108,1,-0.087364,0
165617,78956967,12.3659,-1.93901,-2.58857,1,0.0771458,0,22.0062,0.668323,0.860916,-1,-0.0345512,20.8031
165617,77629816,43.2404,2.08525,-1.34888,-1,0.0807758,0,23.7645,0.35146,2.05774,1,-0.0848685,0
165617,78897689,40.5248,0.615439,-2.4147,1,0.0228,0,55.711,0.436671,0.135126,-1,0.0245432,0
165617,78700766,38.9949,-1.29575,-0.583314,-1,0.071123,0.312346,44.4981,-0.00672403,-2.67799,1,0.00248639,0
165617,78348203,26.0628,-1.20413,2.03631,1,-0.0835161,0,42.9983,0.555942,-0.503798,-1,0.0704781,0
165617,78693707,21.3986,-1.68645,0.0905342,1,0.0263452,4.45725,10.8491,1.20983,3.04879,1,-0.0429911,38.1065
