Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
165617,74969122,G,59.9226,-46.1516,29.4115,-24.407,54.7055,-0.432396,2.57421,1,G,52.4465,30.1097,-16.3989,-39.6876,34.2464,-0.98848,-0.498704,-1,89.9557
165617,75138253,G,97.1011,-23.6144,6.666,-93.9497,24.5872,-2.0522,2.86657,-1,G,30.5992,-11.6134,-25.9848,11.2347,28.5389,0.385163,-1.99117,1,88.6081
165617,75887636,G,152.972,7.46565,-30.7098,-149.671,31.7386,-2.25945,-1.33229,-1,G,33.5835,-9.28778,28.7457,-14.6719,30.2344,-0.468419,1.88331,1,88.2438
165617,75833588,G,181.877,44.1427,-14.9498,175.804,46.7085,2.03794,-0.326565,1,G,170.021,-34.6301,12.3248,166,36.1024,2.21281,2.79955,-1,83.0943
165617,75779415,G,50.244,37.8072,-12.2044,-30.759,39.7394,-0.712338,-0.312266,1,G,49.2396,-47.6064,8.23376,-9.50613,48.279,-0.195625,2.97032,-1,90.3544
165617,75098104,G,41.8051,-41.0848,-4.15625,-6.51303,41.2998,-0.157055,-3.04077,1,G,51.3393,43.4776,-1.8589,27.2389,43.4508,0.590958,-0.0427563,-1,90.5782
165617,77255513,G,41.2853,-24.8545,-29.8605,13.9667,38.9425,0.35221,-2.26492,-1,G,41.2616,24.2118,31.6829,10.6063,39.8616,0.263011,0.918273,1,78.7808
165617,76042048,G,65.8067,42.8333,-10.558,-48.8298,42.8278,-0.954909,-0.241833,-1,G,90.129,-46.8052,14.5669,-75.6327,48.9864,-1.21833,2.83987,1,93.7719
165617,76661162,G,39.8563,-2.30229,-17.0875,-35.9337,17.3593,-1.48088,-1.70459,-1,G,26.8086,-6.0118,19.0967,17.8288,19.9872,0.801846,1.87582,1,63.5867
165617,77076988,G,53.2607,-5.51195,37.5565,-37.3607,38.1511,-0.870204,1.71648,1,G,42.7894,-11.0989,-36.2872,19.7732,37.8959,0.499995,-1.86762,-1,92.945
