"Time (s)","Pressure (hPa)"
0.000000000E0,8.725804443E2
1.739502000E-2,8.726604004E2
5.096435600E-2,8.728702393E2
8.450317400E-2,8.730201416E2
1.181030280E-1,8.731101074E2
1.516418460E-1,8.731500854E2
1.852416990E-1,8.731900635E2
2.187805180E-1,8.732100830E2
2.523498540E-1,8.732300415E2
2.859191900E-1,8.732400513E2
3.195190430E-1,8.732500610E2
3.530578620E-1,8.732400513E2
3.883666990E-1,8.732500610E2
4.201965330E-1,8.732500610E2
4.537658690E-1,8.732500610E2
4.873657230E-1,8.732500610E2
5.216979980E-1,8.732400513E2
5.544738770E-1,8.732400513E2
5.880737310E-1,8.732500610E2
6.216125490E-1,8.732500610E2
6.551818850E-1,8.732400513E2
6.887512210E-1,8.732400513E2
7.225646970E-1,8.732400513E2
7.558898930E-1,8.732500610E2
7.894592290E-1,8.732600098E2
8.230590820E-1,8.732600098E2
8.566284180E-1,8.732700195E2
8.901672370E-1,8.732700195E2
9.237670900E-1,8.732600098E2
9.573059080E-1,8.732700195E2
9.909057620E-1,8.732700195E2
1.024444580E0,8.732600098E2
1.058044434E0,8.732600098E2
1.091583252E0,8.732700195E2
1.125183106E0,8.732900391E2
1.158721924E0,8.732800293E2
1.192321778E0,8.732800293E2
1.225860596E0,8.732700195E2
1.259460449E0,8.732800293E2
1.292999268E0,8.732700195E2
1.326629639E0,8.732600098E2
1.360137940E0,8.732700195E2
1.393768311E0,8.732700195E2
1.427276612E0,8.732500610E2
1.461151123E0,8.732500610E2
1.494415283E0,8.732600098E2
1.527984619E0,8.732900391E2
1.561553955E0,8.733399658E2
1.595123291E0,8.733699951E2
1.628692627E0,8.733699951E2
1.662292481E0,8.733800049E2
1.695861817E0,8.733899536E2
1.729431153E0,8.733999634E2
1.763000489E0,8.733999634E2
1.796600342E0,8.733499756E2
1.830108643E0,8.733000488E2
1.863677979E0,8.732700195E2
1.897247315E0,8.732700195E2
1.931152344E0,8.732800293E2
1.964416504E0,8.733099976E2
1.997985840E0,8.733099976E2
2.031555176E0,8.733599854E2
2.065124512E0,8.733899536E2
2.098663330E0,8.733499756E2
2.132263184E0,8.733300171E2
2.165802002E0,8.732800293E2
2.199401856E0,8.732200928E2
2.232940674E0,8.731600952E2
2.266540528E0,8.730601807E2
2.300079346E0,8.730401611E2
2.333679199E0,8.730501709E2
2.367218018E0,8.730401611E2
2.401092530E0,8.729901733E2
2.434356690E0,8.729901733E2
2.467926026E0,8.730301514E2
2.501525879E0,8.730801392E2
2.535125733E0,8.731201172E2
2.568664551E0,8.731701050E2
2.602264405E0,8.731701050E2
2.635803223E0,8.731800537E2
2.669372559E0,8.732000732E2
2.702911377E0,8.732300415E2
2.736511231E0,8.733200073E2
2.770050049E0,8.733599854E2
2.803619385E0,8.733999634E2
2.837219239E0,8.734099731E2
2.870788574E0,8.733999634E2
2.904327393E0,8.733800049E2
2.937927246E0,8.733599854E2
2.976135254E0,8.733399658E2
3.005065918E0,8.733200073E2
3.038665772E0,8.733300171E2
3.072204590E0,8.733300171E2
3.105773926E0,8.733300171E2
3.139343262E0,8.733300171E2
3.172912598E0,8.733300171E2
3.206481934E0,8.733300171E2
3.240020752E0,8.733099976E2
3.273620606E0,8.732900391E2
3.307159424E0,8.732500610E2
3.340759278E0,8.732800293E2
3.374298096E0,8.732900391E2
3.407867432E0,8.732900391E2
3.441467285E0,8.732900391E2
3.475036621E0,8.732800293E2
3.508575440E0,8.732900391E2
3.542205811E0,8.732900391E2
3.575714112E0,8.732900391E2
3.609313965E0,8.732900391E2
3.642852783E0,8.732900391E2
3.676452637E0,8.733099976E2
3.709991455E0,8.733099976E2
3.743591309E0,8.733200073E2
3.777130127E0,8.733300171E2
3.811706543E0,8.733300171E2
3.844299317E0,8.733200073E2
3.877868653E0,8.733200073E2
3.911437989E0,8.733000488E2
3.945007324E0,8.732800293E2
3.978546143E0,8.732800293E2
4.012237549E0,8.733000488E2
4.045684815E0,8.733000488E2
4.079254151E0,8.733000488E2
4.112823487E0,8.733000488E2
4.146453858E0,8.733200073E2
4.179962158E0,8.733200073E2
4.213592530E0,8.733099976E2
4.247100830E0,8.733099976E2
4.280700684E0,8.733200073E2
4.314270020E0,8.733099976E2
4.347839356E0,8.733099976E2
4.381408692E0,8.733099976E2
4.414978028E0,8.733099976E2
4.448547364E0,8.733099976E2
4.482116699E0,8.733099976E2
4.515655518E0,8.733099976E2
4.549255371E0,8.733000488E2
4.582794190E0,8.733099976E2
4.616363526E0,8.733099976E2
4.649932862E0,8.733099976E2
4.683502197E0,8.733099976E2
4.717071533E0,8.733099976E2
4.751678467E0,8.733200073E2
4.784240723E0,8.733099976E2
4.817810059E0,8.733099976E2
4.851348877E0,8.733099976E2
4.884918213E0,8.733000488E2
4.918487549E0,8.733000488E2
4.952056885E0,8.733000488E2
4.985626221E0,8.733000488E2
5.019226074E0,8.733000488E2
5.052764893E0,8.732900391E2
5.086364746E0,8.732900391E2
5.119903565E0,8.732900391E2
5.153503418E0,8.733000488E2
5.187042237E0,8.733000488E2
5.220642090E0,8.733000488E2
5.254180908E0,8.732900391E2
5.287780762E0,8.732900391E2
5.321319580E0,8.732900391E2
5.354888916E0,8.733000488E2
5.388488770E0,8.733000488E2
5.422058106E0,8.733099976E2
5.455596924E0,8.733099976E2
5.489166260E0,8.733000488E2
5.522735596E0,8.733099976E2
5.556335449E0,8.733200073E2
5.589904785E0,8.733200073E2
5.623474121E0,8.733200073E2
5.657012940E0,8.733099976E2
5.691070557E0,8.732900391E2
5.724151612E0,8.732900391E2
5.757720947E0,8.733000488E2
5.791320801E0,8.732900391E2
5.824890137E0,8.733000488E2
5.858428955E0,8.732900391E2
5.891998291E0,8.732900391E2
5.925567627E0,8.732900391E2
5.959167481E0,8.732900391E2
5.992736817E0,8.733000488E2
6.026306153E0,8.732900391E2
6.059875489E0,8.732900391E2
6.093444824E0,8.732900391E2
6.126983643E0,8.732900391E2
6.160583496E0,8.733000488E2
6.194122315E0,8.733000488E2
6.227691651E0,8.733099976E2
6.261260987E0,8.733099976E2
6.294860840E0,8.733099976E2
6.328399658E0,8.733300171E2
6.361968994E0,8.733200073E2
6.395538330E0,8.733300171E2
6.429138184E0,8.733200073E2
6.462677002E0,8.733099976E2
6.496246338E0,8.733200073E2
6.529815674E0,8.733200073E2
6.563385010E0,8.733200073E2
6.596954346E0,8.733200073E2
6.630554199E0,8.733200073E2
6.664123535E0,8.733200073E2
6.697692871E0,8.733200073E2
6.731201172E0,8.733200073E2
6.764831543E0,8.733200073E2
6.798370362E0,8.733200073E2
6.831970215E0,8.733200073E2
6.865539551E0,8.733200073E2
6.899108887E0,8.733099976E2
6.932678223E0,8.733000488E2
6.966247559E0,8.733000488E2
6.999786377E0,8.732900391E2
7.033386231E0,8.732900391E2
7.066925049E0,8.733000488E2
7.101568190E0,8.733000488E2
7.134069411E0,8.733000488E2
7.167669264E0,8.733099976E2
7.201238600E0,8.733000488E2
7.234838454E0,8.732900391E2
7.268346755E0,8.732900391E2
7.301946608E0,8.732900391E2
7.335485427E0,8.732900391E2
7.369085280E0,8.733000488E2
7.402624098E0,8.733000488E2
7.436254470E0,8.732900391E2
7.469762770E0,8.732900391E2
7.503332106E0,8.732900391E2
7.536901442E0,8.733000488E2
7.570501296E0,8.733000488E2
7.604070632E0,8.733000488E2
7.637639968E0,8.733000488E2
7.671178786E0,8.733000488E2
7.704748122E0,8.733000488E2
7.738317458E0,8.732800293E2
7.771886794E0,8.732800293E2
7.805486647E0,8.733000488E2
7.839055983E0,8.733000488E2
7.872594802E0,8.733000488E2
7.906164137E0,8.733000488E2
7.939733473E0,8.733000488E2
7.973302809E0,8.733000488E2
8.006902663E0,8.732900391E2
8.041082350E0,8.733000488E2
8.074010817E0,8.733099976E2
8.107580153E0,8.733200073E2
8.145879714E0,8.733099976E2
8.174749343E0,8.733099976E2
8.208288161E0,8.733099976E2
8.241888014E0,8.733099976E2
8.275457350E0,8.733200073E2
8.309057204E0,8.733099976E2
8.342565505E0,8.733099976E2
8.376165358E0,8.733000488E2
8.409704177E0,8.733099976E2
8.443304030E0,8.733200073E2
8.476842848E0,8.733099976E2
8.510412184E0,8.733200073E2
8.543981520E0,8.733200073E2
8.577642409E0,8.733200073E2
8.611120192E0,8.733200073E2
8.644720046E0,8.733099976E2
8.678289382E0,8.733200073E2
8.711858718E0,8.733099976E2
8.745397536E0,8.733099976E2
8.778966872E0,8.733099976E2
8.812536208E0,8.733000488E2
8.846136061E0,8.733099976E2
8.879674880E0,8.733099976E2
8.913274733E0,8.733099976E2
8.946813552E0,8.733000488E2
8.980382887E0,8.732900391E2
9.013982741E0,8.733000488E2
9.047552077E0,8.732900391E2
9.081121413E0,8.732900391E2
9.114690749E0,8.733000488E2
9.148229567E0,8.733000488E2
9.181798903E0,8.733000488E2
9.215368239E0,8.732900391E2
9.248968093E0,8.733000488E2
9.282506911E0,8.733099976E2
9.316106764E0,8.733000488E2
9.349645583E0,8.733000488E2
9.383214919E0,8.733099976E2
9.416784255E0,8.733200073E2
9.450414626E0,8.733200073E2
9.483922927E0,8.733200073E2
9.517492262E0,8.733200073E2
9.551061598E0,8.733200073E2
9.584630934E0,8.733099976E2
9.618200270E0,8.733200073E2
9.651800124E0,8.733099976E2
9.685338942E0,8.733200073E2
9.718938796E0,8.733099976E2
9.752477614E0,8.733099976E2
9.786077468E0,8.733000488E2
9.819616286E0,8.733000488E2
9.853216139E0,8.733099976E2
9.886785475E0,8.733000488E2
9.920385329E0,8.732900391E2
9.953893630E0,8.732900391E2
9.987493483E0,8.732900391E2
1.002106282E1,8.732900391E2
1.005463216E1,8.732900391E2
1.008820149E1,8.733099976E2
1.012177083E1,8.733099976E2
1.015530964E1,8.733099976E2
1.018890950E1,8.733000488E2
1.022244832E1,8.733099976E2
1.025607869E1,8.732900391E2
1.028958699E1,8.732900391E2
1.032318684E1,8.733000488E2
1.035672566E1,8.732900391E2
1.039032551E1,8.732900391E2
1.042389485E1,8.733000488E2
1.045746419E1,8.732900391E2
1.049100300E1,8.733000488E2
1.052457234E1,8.732900391E2
1.055814168E1,8.733000488E2
1.059241292E1,8.733000488E2
1.062528035E1,8.733099976E2
1.065891072E1,8.733099976E2
1.069241902E1,8.733200073E2
1.072601887E1,8.733200073E2
1.075955769E1,8.733200073E2
1.079315755E1,8.733200073E2
1.082669636E1,8.733200073E2
1.086121174E1,8.733200073E2
1.089383504E1,8.733200073E2
1.092743489E1,8.733200073E2
1.096100422E1,8.733200073E2
1.099457356E1,8.733200073E2
1.102811238E1,8.733200073E2
1.106171223E1,8.733000488E2
1.109525105E1,8.733000488E2
1.112882039E1,8.733000488E2
1.116687581E1,8.733000488E2
1.119602010E1,8.733000488E2
1.122955891E1,8.732900391E2
1.126312825E1,8.733000488E2
1.129669758E1,8.733000488E2
1.133029744E1,8.733000488E2
1.136380574E1,8.732900391E2
1.139740559E1,8.732900391E2
1.143094441E1,8.732900391E2
1.146451375E1,8.732900391E2
1.149808308E1,8.733000488E2
1.153168294E1,8.733000488E2
1.156522176E1,8.733000488E2
1.159879109E1,8.732900391E2
1.163239094E1,8.732900391E2
1.166599080E1,8.732900391E2
1.169949910E1,8.733099976E2
1.173309895E1,8.732900391E2
1.176663777E1,8.732900391E2
1.180112263E1,8.732900391E2
1.183380696E1,8.732900391E2
1.186737630E1,8.732800293E2
1.190094563E1,8.732800293E2
1.193451497E1,8.732800293E2
1.196805379E1,8.732900391E2
1.200165364E1,8.732900391E2
1.203522298E1,8.732800293E2
1.206879231E1,8.732800293E2
1.210233113E1,8.732800293E2
1.213590047E1,8.732600098E2
1.216946980E1,8.732600098E2
1.220303914E1,8.732600098E2
1.223660847E1,8.732600098E2
1.227020833E1,8.732600098E2
1.230374714E1,8.732600098E2
1.233731648E1,8.732600098E2
1.237088582E1,8.732700195E2
1.240445515E1,8.732700195E2
1.243802449E1,8.732600098E2
1.247162434E1,8.732600098E2
1.250516316E1,8.732700195E2
1.253879353E1,8.732700195E2
1.257230183E1,8.732700195E2
1.260590169E1,8.732700195E2
1.263947102E1,8.732700195E2
1.267304036E1,8.732700195E2
1.270657918E1,8.732600098E2
1.274014851E1,8.732500610E2
1.277371785E1,8.732700195E2
1.280731770E1,8.732600098E2
1.284085652E1,8.732500610E2
1.287445637E1,8.732400513E2
1.290802571E1,8.732400513E2
1.294165608E1,8.732600098E2
1.297513386E1,8.732500610E2
1.300876424E1,8.732500610E2
1.304227254E1,8.732500610E2
1.307587239E1,8.732500610E2
1.310941121E1,8.732400513E2
1.314298054E1,8.732300415E2
1.317654988E1,8.732400513E2
1.321014973E1,8.732300415E2
1.324368855E1,8.732400513E2
1.327728840E1,8.732400513E2
1.331082722E1,8.732400513E2
1.334442708E1,8.732500610E2
1.337799641E1,8.732600098E2
1.341159627E1,8.732400513E2
1.344510457E1,8.732400513E2
1.347867390E1,8.732400513E2
1.351227376E1,8.732400513E2
1.354587361E1,8.732400513E2
1.357938191E1,8.732400513E2
1.361298176E1,8.732400513E2
1.364652058E1,8.732400513E2
1.368015095E1,8.732400513E2
1.371365926E1,8.732400513E2
1.374725911E1,8.732400513E2
1.378079793E1,8.732300415E2
1.381439778E1,8.732400513E2
1.384796712E1,8.732400513E2
1.388153645E1,8.732400513E2
1.391507527E1,8.732300415E2
1.394867512E1,8.732400513E2
1.398221394E1,8.732400513E2
1.401581380E1,8.732400513E2
1.404935261E1,8.732500610E2
1.408298298E1,8.732500610E2
1.411649129E1,8.732700195E2
1.415009114E1,8.732600098E2
1.418366048E1,8.732700195E2
1.421722981E1,8.732700195E2
1.425079915E1,8.732600098E2
1.428436848E1,8.732500610E2
1.431790730E1,8.732600098E2
1.435150716E1,8.732500610E2
1.438504597E1,8.732500610E2
1.441861531E1,8.732500610E2
1.445218464E1,8.732500610E2
1.448578450E1,8.732500610E2
1.451932332E1,8.732500610E2
1.455289265E1,8.732500610E2
1.458646199E1,8.732400513E2
1.462006184E1,8.732400513E2
1.465360066E1,8.732400513E2
1.468720051E1,8.732400513E2
1.472076985E1,8.732400513E2
1.475433919E1,8.732500610E2
1.478787800E1,8.732500610E2
1.482147786E1,8.732400513E2
1.485501668E1,8.732400513E2
1.488858601E1,8.732400513E2
1.492218587E1,8.732300415E2
1.495575520E1,8.732300415E2
1.498929402E1,8.732400513E2
1.502289387E1,8.732400513E2
1.505643269E1,8.732400513E2
1.509000203E1,8.732400513E2
1.512357136E1,8.732400513E2
1.515717122E1,8.732400513E2
1.519071004E1,8.732400513E2
1.522430989E1,8.732400513E2
1.525784871E1,8.732300415E2
1.529144856E1,8.732400513E2
1.532498738E1,8.732400513E2
1.535855672E1,8.732500610E2
1.539212605E1,8.732500610E2
1.542572590E1,8.732300415E2
1.545929524E1,8.732300415E2
1.549286458E1,8.732400513E2
1.552643391E1,8.732300415E2
1.556061360E1,8.732300415E2
1.559354207E1,8.732500610E2
1.562714192E1,8.732500610E2
1.566068074E1,8.732500610E2
1.569428059E1,8.732500610E2
1.572781941E1,8.732500610E2
1.576141926E1,8.732500610E2
1.579495808E1,8.732500610E2
1.582855794E1,8.732400513E2
1.586209676E1,8.732400513E2
1.589569661E1,8.732500610E2
1.592926594E1,8.732400513E2
1.596283528E1,8.732400513E2
1.599637410E1,8.732400513E2
1.602994343E1,8.732400513E2
1.606354329E1,8.732300415E2
1.609708211E1,8.732200928E2
1.613065144E1,8.732400513E2
1.616425130E1,8.732400513E2
1.619779011E1,8.732500610E2
1.623138997E1,8.732500610E2
1.626495930E1,8.732500610E2
1.629852864E1,8.732300415E2
1.633658406E1,8.732300415E2
1.636566731E1,8.732300415E2
1.639923665E1,8.732200928E2
1.643280598E1,8.732300415E2
1.646637532E1,8.732300415E2
1.649994466E1,8.732400513E2
1.653348347E1,8.732400513E2
1.656708333E1,8.732300415E2
1.660062214E1,8.732300415E2
1.663422200E1,8.732300415E2
1.666776082E1,8.732200928E2
1.670133015E1,8.732300415E2
1.673489949E1,8.732300415E2
1.676849934E1,8.732300415E2
1.680203816E1,8.732300415E2
1.683563801E1,8.732300415E2
1.686917683E1,8.732300415E2
1.690274617E1,8.732200928E2
1.693631550E1,8.732100830E2
1.696994588E1,8.732300415E2
1.700345418E1,8.732300415E2
1.703705403E1,8.732300415E2
1.707059285E1,8.732300415E2
1.710417811E1,8.732300415E2
1.713771692E1,8.732500610E2
1.717134730E1,8.732400513E2
1.720488612E1,8.732400513E2
1.723848597E1,8.732400513E2
1.727199427E1,8.732300415E2
1.730559412E1,8.732200928E2
1.733913294E1,8.732200928E2
1.737273279E1,8.732400513E2
1.740627161E1,8.732400513E2
1.743987147E1,8.732200928E2
1.747341028E1,8.732200928E2
1.750704066E1,8.732200928E2
1.754054896E1,8.732000732E2
1.757414881E1,8.732100830E2
1.760768763E1,8.732200928E2
1.764128748E1,8.732200928E2
1.767485682E1,8.732100830E2
1.770842615E1,8.732100830E2
1.774199549E1,8.732100830E2
1.777556483E1,8.732100830E2
1.780910364E1,8.732100830E2
1.784270350E1,8.732000732E2
1.787624232E1,8.732100830E2
1.790984217E1,8.732100830E2
1.794338099E1,8.732100830E2
1.797698084E1,8.732100830E2
1.801051966E1,8.732100830E2
1.804411951E1,8.732100830E2
1.807765833E1,8.732100830E2
1.811171595E1,8.732100830E2
1.814479700E1,8.732100830E2
1.817839686E1,8.732100830E2
1.821193568E1,8.732000732E2
1.824550501E1,8.732100830E2
1.827907435E1,8.732100830E2
1.831264368E1,8.732100830E2
1.834624354E1,8.732100830E2
1.837978236E1,8.732200928E2
1.841338221E1,8.732100830E2
1.844695154E1,8.732100830E2
1.848052088E1,8.732100830E2
1.851409022E1,8.732000732E2
1.854765955E1,8.732000732E2
1.858122889E1,8.732100830E2
1.861476771E1,8.732000732E2
1.864833704E1,8.732000732E2
1.868190638E1,8.732000732E2
1.871550623E1,8.732000732E2
1.874904505E1,8.732000732E2
1.878264490E1,8.732200928E2
1.881618372E1,8.732200928E2
1.884978358E1,8.732200928E2
1.888332239E1,8.732100830E2
1.892336146E1,8.732200928E2
1.895046107E1,8.732300415E2
1.898406092E1,8.732200928E2
1.901759974E1,8.732200928E2
1.905119959E1,8.732100830E2
1.908473841E1,8.732000732E2
1.911833826E1,8.732000732E2
1.915187708E1,8.732200928E2
1.918547694E1,8.732100830E2
1.921901575E1,8.732100830E2
1.925261561E1,8.732100830E2
1.928615442E1,8.732100830E2
1.931972376E1,8.732100830E2
1.935411707E1,8.731900635E2
1.938689295E1,8.732000732E2
1.942046229E1,8.732100830E2
1.945403162E1,8.732100830E2
1.948760096E1,8.732100830E2
1.952117029E1,8.732000732E2
1.955473963E1,8.732100830E2
